type,registration_no,name,dob,place,sex,father,mother,cause,created_at
death,REG-0045,Kelly Scott,,Antonioside,,,,Accident,2025-11-13T04:44:21.608112
death,REG-0046,Dale Martin,,North Ethanberg,,,,Natural,2025-11-13T04:44:21.608590
death,REG-0047,Amanda Phelps,,Lake Matthewside,,,,Unknown,2025-11-13T04:44:21.608948
birth,REG-0048,Stephanie Taylor,1953-07-02,Jensenville,M,Eric Bennett,Karen Wallace,,2025-11-13T04:44:21.609343
death,REG-0049,Mrs. Melissa Mcconnell,,West Patricia,,,,Disease,2025-11-13T04:44:21.610171
birth,REG-0050,Charles Miller,2018-01-28,Sandersport,F,David Miller,Natalie Smith,,2025-11-13T04:44:21.610573
death,REG-0051,Timothy Webb,,Lake Tinaville,,,,Accident,2025-11-13T04:44:21.611354
birth,REG-0052,Scott Carpenter,1994-02-05,Jamieside,F,David Hernandez,Megan Garcia,,2025-11-13T04:44:21.611750
birth,REG-0053,Dan Snyder,1954-10-19,Lake Jason,F,Ricky Mcgee,Tracey Mitchell,,2025-11-13T04:44:21.612533
death,REG-0054,Dr. Crystal Morales,,East Carolmouth,,,,Disease,2025-11-13T04:44:21.613301
death,REG-0055,Michael Reed,,Kellerview,,,,Disease,2025-11-13T04:44:21.615978
death,REG-0056,Anne Fry,,North Feliciamouth,,,,Unknown,2025-11-13T04:44:21.616324
death,REG-0057,Michelle Moore,,Port Tricia,,,,Disease,2025-11-13T04:44:21.616626
death,REG-0058,Thomas Nichols,,Meadowsmouth,,,,Unknown,2025-11-13T04:44:21.616984
birth,REG-0059,Alyssa Roberts,2004-06-16,Kingburgh,F,Manuel Elliott,Elizabeth Lee,,2025-11-13T04:44:21.617321
birth,REG-0060,Michael Jones,2010-05-29,Hughesmouth,M,John Hamilton,Sharon Marshall,,2025-11-13T04:44:21.618054
birth,REG-0061,Dennis Stephens,1962-03-27,Derekstad,M,Mr. William Santos,Jean Anderson,,2025-11-13T04:44:21.618768
death,REG-0062,Anthony Howell,,Walkerberg,,,,Accident,2025-11-13T04:44:21.619548
death,REG-0063,Lori Peterson,,Mcintyretown,,,,Unknown,2025-11-13T04:44:21.619938
birth,REG-0064,Kelly Long,1976-05-14,New Catherine,F,Gerald Welch,Destiny Ortiz,,2025-11-13T04:44:21.620248
death,REG-0065,Ashley Waller,,Livingstonmouth,,,,Accident,2025-11-13T04:44:21.621238
birth,REG-0066,Mary Mccarthy,1987-03-07,Port Kevin,O,Bryan Ponce,Melissa Pineda,,2025-11-13T04:44:21.621614
birth,REG-0067,Jacqueline Hunt,1978-02-28,South Joechester,M,Jesus Arnold,Jody Jackson,,2025-11-13T04:44:21.622329
birth,REG-0068,Timothy Mcfarland,1967-09-16,New Dakotamouth,F,Noah Nash,Jamie Walker,,2025-11-13T04:44:21.623066
death,REG-0069,Susan Hunter,,Jacobborough,,,,Unknown,2025-11-13T04:44:21.623839
birth,REG-0070,April Harper,2000-09-25,West Thomas,F,Gabriel Brown,Ann Robertson,,2025-11-13T04:44:21.624148
birth,REG-0071,Vickie Thomas,2018-06-07,North Amandaburgh,M,Louis Davis,Erica Hunter,,2025-11-13T04:44:21.624887
birth,REG-0072,Jordan Davis,1953-06-06,Lake Jennifer,F,David Ramirez,Donna Cobb,,2025-11-13T04:44:21.625660
birth,REG-0073,John Lee,2008-12-11,Lake Kimberly,O,Terrence Hancock,Danielle Benson,,2025-11-13T04:44:21.626448
birth,REG-0074,Sarah Prince,1986-04-23,North Glendafort,F,Steven Martinez,Ruth Howell,,2025-11-13T04:44:21.627201
death,REG-0075,Nicholas Taylor,,South Connor,,,,Disease,2025-11-13T04:44:21.629519
death,REG-0076,Glen Torres,,West Timothytown,,,,Natural,2025-11-13T04:44:21.629851
death,REG-0077,Meagan Williams,,New Benjaminbury,,,,Accident,2025-11-13T04:44:21.630158
birth,REG-0078,Nicole Johnson,2001-12-30,North Pedrotown,M,Charles Davis,Anna Contreras,,2025-11-13T04:44:21.630628
death,REG-0079,Meghan Leon,,North Nathanton,,,,Accident,2025-11-13T04:44:21.631358
birth,REG-0080,Mary Torres,2003-01-13,West Kevin,O,Nicholas Wood,Gina Hernandez,,2025-11-13T04:44:21.631724
birth,REG-0081,Michael Malone,1973-07-14,South Janetland,F,Joshua Craig,Angelica Owens,,2025-11-13T04:44:21.632441
death,REG-0082,Kimberly Phelps,,North Annton,,,,Natural,2025-11-13T04:44:21.633163
death,REG-0083,Misty Harvey,,Port Brookeview,,,,Unknown,2025-11-13T04:44:21.633470
death,REG-0084,Joshua Patrick,,North Larrymouth,,,,Accident,2025-11-13T04:44:21.633765
death,REG-0085,Sherry Pace,,Chambersville,,,,Natural,2025-11-13T04:44:21.634124
death,REG-0086,Dustin Scott,,Ballstad,,,,Disease,2025-11-13T04:44:21.634457
death,REG-0087,Bonnie Smith,,South Lisatown,,,,Disease,2025-11-13T04:44:21.634761
birth,REG-0088,Christopher Ford,2025-03-07,North Lori,O,James Hopkins,Deborah Spencer,,2025-11-13T04:44:21.635075
birth,REG-0089,Catherine Roy,2010-06-10,Lake Vincentberg,O,Darren Drake,Victoria Hunter,,2025-11-13T04:44:21.635836
birth,REG-0090,Reginald Jones,1996-02-27,Stevenhaven,F,William Duke,Stephanie Nunez,,2025-11-13T04:44:21.636642
death,REG-0091,Michael Miller,,Nicholasmouth,,,,Natural,2025-11-13T04:44:21.637745
death,REG-0092,Michael Medina,,Lopezton,,,,Natural,2025-11-13T04:44:21.638095
death,REG-0093,Kenneth Lopez,,West Karlamouth,,,,Natural,2025-11-13T04:44:21.638433
death,REG-0094,Michael Gordon,,Christophermouth,,,,Accident,2025-11-13T04:44:21.638751
death,REG-0095,Tonya Smith,,West Annaview,,,,Disease,2025-11-13T04:44:21.639056
birth,REG-0096,Cynthia Moran,1980-06-22,New Timothy,M,John Adams,Pamela Kirby,,2025-11-13T04:44:21.639378
birth,REG-0097,Gabriel Fields MD,1996-10-18,Millermouth,F,Michael Lang,Monica Johnson,,2025-11-13T04:44:21.640158
birth,REG-0098,Kristy Weber,1964-11-04,Hallville,F,Patrick Curtis,Lori Martin MD,,2025-11-13T04:44:21.640916
death,REG-0099,Kayla Anderson,,Cliffordside,,,,Disease,2025-11-13T04:44:21.641642
birth,REG-0100,Eric Gross,2016-09-05,South Joshuaview,M,Bobby Patton,Terri Hart,,2025-11-13T04:44:21.641946
birth,REG-0101,David Kirk,1962-04-17,South Pamelachester,M,Andrew Davis,Gabrielle Black,,2025-11-13T04:44:21.642671
birth,REG-0102,Melissa Hall,2007-03-27,West Maria,O,David Williams,Tara Barnes,,2025-11-13T04:44:21.646444
birth,REG-0103,Shelly Beard,2025-05-26,Hugheshaven,O,Russell Barker,Amber Daniel,,2025-11-13T04:44:21.647256
birth,REG-0104,Timothy Jacobs,2016-05-02,North Gregory,O,Taylor Brooks,Traci Dennis,,2025-11-13T04:44:21.648006
birth,REG-0105,Jordan Reyes,1996-04-07,Ryanfurt,F,Ray Cantrell,Michelle Russell,,2025-11-13T04:44:21.648703
birth,REG-0106,Melissa Wade,1986-06-13,Port Danielchester,M,Austin Smith,Maureen Ruiz,,2025-11-13T04:44:21.649422
death,REG-0107,Alex Jones,,Tinaport,,,,Disease,2025-11-13T04:44:21.650186
birth,REG-0108,Justin Grant,2010-01-23,South Ruben,O,Brian Rodriguez,Sarah Rios,,2025-11-13T04:44:21.650488
death,REG-0109,Lisa Collins,,West Gregory,,,,Accident,2025-11-13T04:44:21.651217
death,REG-0110,Mary Shields,,Port Daniel,,,,Accident,2025-11-13T04:44:21.651525
death,REG-0111,Colleen Ellis,,East Christopher,,,,Natural,2025-11-13T04:44:21.651850
death,REG-0112,Zachary Evans,,Lake Timothy,,,,Disease,2025-11-13T04:44:21.652165
birth,REG-0113,Mark Sullivan,1989-03-11,Port Kaitlinville,F,Manuel Obrien,Allison Pacheco,,2025-11-13T04:44:21.652483
death,REG-0114,Alex Lee,,Michaeltown,,,,Accident,2025-11-13T04:44:21.653395
birth,REG-0115,Stephanie Frederick,1964-12-19,Woodland,O,Daniel Figueroa,Tiffany Mcconnell,,2025-11-13T04:44:21.653748
birth,REG-0116,Todd Goodman,1952-09-25,New Stacystad,M,John Castro,Heidi Aguilar DVM,,2025-11-13T04:44:21.654475
death,REG-0117,Robert Evans,,Laceymouth,,,,Accident,2025-11-13T04:44:21.655179
death,REG-0118,Maria Watkins,,Lake Christina,,,,Natural,2025-11-13T04:44:21.655505
birth,REG-0119,Michael Klein,2020-09-18,Reyesland,O,Jose Brewer,Catherine Campbell,,2025-11-13T04:44:21.655872
birth,REG-0120,Chad Williamson,2020-11-05,West Michele,F,Joseph Gonzalez,Katherine Green,,2025-11-13T04:44:21.656695
birth,REG-0121,Zachary Bailey,1959-05-23,Lake Ericburgh,F,Walter Thomas,Theresa Adams,,2025-11-13T04:44:21.657403
birth,REG-0122,Taylor Small,1973-12-23,Gutierrezburgh,O,Joseph Brown,Isabel Yang,,2025-11-13T04:44:21.658161
death,REG-0123,Teresa Thompson,,Port George,,,,Unknown,2025-11-13T04:44:21.658879
death,REG-0124,Judith Martinez,,Lawrencefurt,,,,Unknown,2025-11-13T04:44:21.659184
death,REG-0125,Alan Anderson,,Collinsmouth,,,,Unknown,2025-11-13T04:44:21.659515
death,REG-0126,Mark Smith,,Johnnymouth,,,,Natural,2025-11-13T04:44:21.659856
birth,REG-0127,Raymond Buchanan,2008-07-03,West Elizabethmouth,F,Scott Pope,Darlene Lee,,2025-11-13T04:44:21.660160
death,REG-0128,Scott Bell,,Lake Stevemouth,,,,Disease,2025-11-13T04:44:21.662574
birth,REG-0129,Jamie George,1951-03-27,Carolineborough,F,Nicholas Arellano,Aimee Jones,,2025-11-13T04:44:21.662887
death,REG-0130,Christine Hardin,,Craigstad,,,,Unknown,2025-11-13T04:44:21.663664
birth,REG-0131,Julian Randolph,2007-01-29,Port Williechester,M,Joseph Morgan,Kristen Maxwell,,2025-11-13T04:44:21.663990
birth,REG-0132,Darren Frazier,1952-05-31,North Destinyfurt,F,Paul Williams,Deborah Curry,,2025-11-13T04:44:21.664724
death,REG-0133,Katherine Singleton,,New John,,,,Accident,2025-11-13T04:44:21.665471
birth,REG-0134,John Mcintyre,1962-01-06,Haydenborough,M,Logan Castillo,Tiffany Wilson,,2025-11-13T04:44:21.665842
birth,REG-0135,Darlene Zamora,1994-04-26,West Scottport,M,Preston Miller,Melody Wang,,2025-11-13T04:44:21.668188
death,REG-0136,Jasmine Martinez,,Brettshire,,,,Accident,2025-11-13T04:44:21.669021
death,REG-0137,Tina Hess,,Lisaton,,,,Natural,2025-11-13T04:44:21.669330
death,REG-0138,Justin Mccoy,,Rebeccaport,,,,Accident,2025-11-13T04:44:21.669661
birth,REG-0139,Dustin Rivera,1972-09-29,Lake Rebeccahaven,O,Brian Mcclain,Maria Gonzalez,,2025-11-13T04:44:21.669978
birth,REG-0140,Robert Jones,1956-10-23,West Chase,O,David Gillespie,Kathryn Michael,,2025-11-13T04:44:21.670695
birth,REG-0141,Kelly Jackson,1956-03-23,North Erik,M,Matthew Rodriguez,Alexis Sheppard,,2025-11-13T04:44:21.671400
death,REG-0142,Mark Fuentes,,Port Karen,,,,Disease,2025-11-13T04:44:21.672156
birth,REG-0143,Kimberly Blackwell,1964-11-24,Jacksonstad,F,Gary Hatfield,April Foster,,2025-11-13T04:44:21.672501
death,REG-0144,Daniel Preston,,Lake Ryanshire,,,,Accident,2025-11-13T04:44:21.673226
death,REG-0145,Angela Lozano,,West William,,,,Unknown,2025-11-13T04:44:21.673527
birth,REG-0146,Leah Davis,1983-07-02,South Jamiestad,O,Zachary Navarro,Kelly Finley,,2025-11-13T04:44:21.673830
death,REG-0147,Nicholas Mcneil,,Lisaberg,,,,Unknown,2025-11-13T04:44:21.674546
birth,REG-0148,Pamela Smith,2008-07-27,North Christina,O,Matthew Nicholson,Christina Neal,,2025-11-13T04:44:21.674848
death,REG-0149,Matthew Salas,,Singhmouth,,,,Accident,2025-11-13T04:44:21.675729
death,REG-0150,Ricardo Robertson,,Lake Erikchester,,,,Natural,2025-11-13T04:44:21.676074
birth,REG-0151,Darrell Clark DDS,1971-07-01,Davidstad,M,David Cole,Kimberly Ramirez,,2025-11-13T04:44:21.676396
death,REG-0152,Christopher Gonzalez,,New Rebeccaland,,,,Unknown,2025-11-13T04:44:21.677220
death,REG-0153,John Suarez,,Margaretchester,,,,Unknown,2025-11-13T04:44:21.677533
birth,REG-0154,Sierra Long,1996-11-24,Cruzland,M,Matthew Taylor DDS,Elizabeth Sanchez,,2025-11-13T04:44:21.677892
birth,REG-0155,Denise Calhoun,2015-02-15,Carlosside,O,Trevor Perry,Rhonda Wilson,,2025-11-13T04:44:21.678659
death,REG-0156,Dr. Jonathan Boyd,,Valerieland,,,,Accident,2025-11-13T04:44:21.679437
death,REG-0157,Alexis Bailey,,North Jamesborough,,,,Disease,2025-11-13T04:44:21.679777
birth,REG-0158,James Nixon,2014-11-20,Kristinashire,O,Mitchell Brooks,Sarah Patton,,2025-11-13T04:44:21.680110
birth,REG-0159,Sarah Butler,1974-10-29,Griffithville,F,Harry Richard,Bonnie Edwards,,2025-11-13T04:44:21.680897
death,REG-0160,Jennifer Holt,,Joshualand,,,,Accident,2025-11-13T04:44:21.681654
birth,REG-0161,Michael Cox,1970-07-03,Williamschester,O,Brett Conrad,Monica Davis,,2025-11-13T04:44:21.681997
birth,REG-0162,Erin Perez,1965-09-02,Stephaniechester,O,Christopher Elliott,Amanda Foster,,2025-11-13T04:44:21.682760
death,REG-0163,Douglas Garza,,Justinberg,,,,Disease,2025-11-13T04:44:21.683492
death,REG-0164,Justin Ramos,,Wolfmouth,,,,Unknown,2025-11-13T04:44:21.683892
birth,REG-0165,Rodney Weber,1945-02-14,Jasmineton,F,Brian Franco,Catherine Bauer,,2025-11-13T04:44:21.684197
birth,REG-0166,Steven Walker,1993-02-28,North Josephberg,M,Christopher Hall,Courtney Young,,2025-11-13T04:44:21.685130
birth,REG-0167,Miss Linda Hicks,1944-11-17,Berryborough,M,Stephen Perry,Jennifer Mercado,,2025-11-13T04:44:21.685994
birth,REG-0168,Christopher Kelley,1975-07-08,Port Megan,O,Joseph Fitzpatrick,Nicole Mcfarland,,2025-11-13T04:44:21.686698
death,REG-0169,Mark Mcneil,,East Rebecca,,,,Natural,2025-11-13T04:44:21.687537
death,REG-0170,Michael Reyes,,Padillafurt,,,,Natural,2025-11-13T04:44:21.687913
death,REG-0171,Lisa Wilkerson,,Lisamouth,,,,Disease,2025-11-13T04:44:21.688267
birth,REG-0172,Lisa Roberts,1950-10-11,Tarachester,F,Timothy Wilson,Janet Carter,,2025-11-13T04:44:21.688575
birth,REG-0173,Tracey Matthews,2007-01-08,East Robertahaven,M,Dakota Fitzgerald,Kathleen Ramirez,,2025-11-13T04:44:21.689318
birth,REG-0174,Marcus Ashley,1963-09-19,Robertberg,M,James Clarke,Carla Wilson,,2025-11-13T04:44:21.690029
birth,REG-0175,Tim Ortiz,1971-09-11,Englishport,M,Nathan Hunt,Sarah Moore,,2025-11-13T04:44:21.690794
death,REG-0176,Felicia Robinson,,Shannontown,,,,Accident,2025-11-13T04:44:21.691525
death,REG-0177,Matthew Holden,,South Moniquefort,,,,Unknown,2025-11-13T04:44:21.691864
birth,REG-0178,Angela Boyd,2023-06-02,West Jon,F,Charles Crawford,Lisa Davenport,,2025-11-13T04:44:21.692164
birth,REG-0179,Brenda Larson,1959-11-13,Stephanieburgh,F,Charles Murphy,Ann Gross,,2025-11-13T04:44:21.692899
birth,REG-0180,Sierra Chavez,1969-03-24,Port Stephen,F,Michael Sawyer,Olivia Moore,,2025-11-13T04:44:21.693746
birth,REG-0181,Timothy Robles,2003-03-13,North Samantha,M,Andrew Willis,Anita Sanford,,2025-11-13T04:44:21.694495
death,REG-0182,Timothy Glover,,Dianechester,,,,Natural,2025-11-13T04:44:21.695270
birth,REG-0183,Joyce Burnett,2024-07-21,Roberthaven,M,Rickey Adams,Nicole Hernandez DDS,,2025-11-13T04:44:21.695581
death,REG-0184,Brad Robinson,,East Stephanie,,,,Disease,2025-11-13T04:44:21.696447
birth,REG-0185,Mr. William Wolf PhD,2003-07-03,Davidside,O,Ryan Walters,Krista Atkinson,,2025-11-13T04:44:21.696835
death,REG-0186,Sarah Barron,,Cunninghamshire,,,,Disease,2025-11-13T04:44:21.697748
birth,REG-0187,Sarah Watts,2002-09-26,South Michael,M,John Daniel,Melanie Gray,,2025-11-13T04:44:21.698101
birth,REG-0188,Tyrone Ryan,2008-05-31,Port Brenda,M,Benjamin Turner,Toni Carr,,2025-11-13T04:44:21.698848
birth,REG-0189,Jessica Black,2012-07-03,Lake Melissa,M,Jesse Taylor,Ashley Nelson,,2025-11-13T04:44:21.699595
birth,REG-0190,Andrea Hull,1971-03-15,Brettmouth,O,Isaiah Norris,Margaret Chen,,2025-11-13T04:44:21.708517
death,REG-0191,Edward Jenkins,,Port Diane,,,,Accident,2025-11-13T04:44:21.709278
death,REG-0192,Craig Ramos,,West Douglas,,,,Unknown,2025-11-13T04:44:21.709621
birth,REG-0193,George Garcia,2000-10-16,Ashleybury,M,David Kirby,Mary Carter,,2025-11-13T04:44:21.709964
death,REG-0194,Juan Carlson,,Brownville,,,,Natural,2025-11-13T04:44:21.710742
birth,REG-0195,Lindsey Hoffman,1982-06-15,Martinezberg,O,Tanner Harris,Debra Thomas,,2025-11-13T04:44:21.711121
death,REG-0196,Todd Simpson,,Teresaland,,,,Unknown,2025-11-13T04:44:21.711938
death,REG-0197,Christopher Collins,,Michaelburgh,,,,Accident,2025-11-13T04:44:21.712262
death,REG-0198,Paul Wood,,Carterburgh,,,,Disease,2025-11-13T04:44:21.712713
death,REG-0199,Jeanette West,,Sanchezhaven,,,,Disease,2025-11-13T04:44:21.713142
birth,REG-0200,Angelica Bryant,2007-12-31,Wendyfort,O,John Jackson,Elizabeth Drake,,2025-11-13T04:44:21.713485
death,REG-0201,Theresa Williams,,New Sara,,,,Accident,2025-11-13T04:44:21.714336
birth,REG-0202,Mr. Theodore King,2005-10-22,North Kelly,F,Ronald Hensley,Sandra Harris,,2025-11-13T04:44:21.714662
death,REG-0203,Jay Ortiz,,Port Shannonside,,,,Accident,2025-11-13T04:44:21.715412
death,REG-0204,Frederick Gonzalez,,East Jameschester,,,,Natural,2025-11-13T04:44:21.715739
birth,REG-0205,Mrs. Linda Baker,1950-02-20,East Kathyville,O,Michael Perkins,Tiffany Barrera,,2025-11-13T04:44:21.716147
death,REG-0206,Christy Banks,,New Allison,,,,Unknown,2025-11-13T04:44:21.716922
birth,REG-0207,Monique Jones,1987-05-22,South Robertbury,F,Michael Howard,Teresa Harper,,2025-11-13T04:44:21.717277
death,REG-0208,Eric Ramos,,Lake Davidburgh,,,,Natural,2025-11-13T04:44:21.718111
death,REG-0209,Alexander Graham,,Jamesfort,,,,Accident,2025-11-13T04:44:21.718469
death,REG-0210,Tom Odonnell,,Savannahburgh,,,,Accident,2025-11-13T04:44:21.718771
death,REG-0211,Wayne Johnson,,North Jesusport,,,,Accident,2025-11-13T04:44:21.719066
death,REG-0212,Norman Hughes,,Lake Kyleburgh,,,,Unknown,2025-11-13T04:44:21.719388
death,REG-0213,Thomas Goodwin,,Williamtown,,,,Accident,2025-11-13T04:44:21.719708
birth,REG-0214,Stephanie Ryan,1995-08-25,East Jacqueline,M,Jaime Lopez,Cindy Mcdonald,,2025-11-13T04:44:21.720031
birth,REG-0215,Amy Floyd,1976-09-25,West Timothyshire,M,Eric Warren,Andrea Garcia,,2025-11-13T04:44:21.720777
birth,REG-0216,Ronnie Avila,2019-12-19,East Leahfort,M,Dalton Ortiz,Melissa Hall,,2025-11-13T04:44:21.721479
birth,REG-0217,Priscilla Johnson,2019-04-15,Billyton,F,Steven Colon,Sherry Brown,,2025-11-13T04:44:21.722201
death,REG-0218,Jordan Martinez,,Taylorville,,,,Unknown,2025-11-13T04:44:21.722960
birth,REG-0219,Justin Pope,2006-02-21,Benjaminmouth,F,Brian Smith,Heather Murray,,2025-11-13T04:44:21.723262
birth,REG-0220,Robert Reyes,1959-05-26,Brandonside,M,David Thomas,Ann Everett,,2025-11-13T04:44:21.724010
death,REG-0221,Steven Thomas,,East William,,,,Accident,2025-11-13T04:44:21.724763
birth,REG-0222,Christopher Sweeney,2016-02-15,Alexaton,F,Gilbert Greene MD,Erica Hernandez,,2025-11-13T04:44:21.725101
death,REG-0223,Donna Park DDS,,Odonnellshire,,,,Unknown,2025-11-13T04:44:21.725851
birth,REG-0224,Haley Thomas,1972-10-18,Carlsontown,M,Nathan Woodward,Courtney Howard,,2025-11-13T04:44:21.726221
birth,REG-0225,Shannon Smith,1949-01-24,Allenside,O,Anthony Browning,Olivia Wilkerson,,2025-11-13T04:44:21.726915
birth,REG-0226,Nicholas Santana,1980-06-20,Bernardland,O,Kyle Myers,Amanda Williams,,2025-11-13T04:44:21.727899
death,REG-0227,Ernest Rodriguez,,East Bobby,,,,Natural,2025-11-13T04:44:21.728983
birth,REG-0228,Ashley Oneal,1971-10-02,West Lisa,M,Manuel Moody,Ms. Sherry Castillo,,2025-11-13T04:44:21.729335
death,REG-0229,Max Koch,,North Saraland,,,,Disease,2025-11-13T04:44:21.730137
birth,REG-0230,Miss Michelle Saunders,1962-07-22,Sarahaven,F,Christian Brown,Taylor Meyer,,2025-11-13T04:44:21.730566
death,REG-0231,John Campbell,,Horneborough,,,,Accident,2025-11-13T04:44:21.731328
death,REG-0232,Martin Ballard,,Stephanieton,,,,Natural,2025-11-13T04:44:21.731701
death,REG-0233,Shelby Evans,,Stephentown,,,,Natural,2025-11-13T04:44:21.732012
birth,REG-0234,Brandon Wheeler,1956-04-01,Stanleyside,F,Henry Arnold,April Ortiz,,2025-11-13T04:44:21.732375
birth,REG-0235,Jody Arias,1946-11-04,West Jamiestad,M,Jeffrey Jones,Lisa Powell MD,,2025-11-13T04:44:21.733146
death,REG-0236,Rhonda Oliver,,Pearsonmouth,,,,Accident,2025-11-13T04:44:21.733931
death,REG-0237,Keith Boyd,,Lake Haileychester,,,,Natural,2025-11-13T04:44:21.734240
birth,REG-0238,Jade Burns,1981-11-23,North Christophershire,M,Christopher Franklin,Sara Benjamin,,2025-11-13T04:44:21.734543
birth,REG-0239,Ryan Lee,2004-11-01,Lake Stacy,M,Patrick Wright,Darlene Soto,,2025-11-13T04:44:21.735270
death,REG-0240,Charles Ross,,North Earlbury,,,,Natural,2025-11-13T04:44:21.736161
death,REG-0241,Anthony Bell,,Dorothybury,,,,Disease,2025-11-13T04:44:21.736502
birth,REG-0242,Joanne Weaver,1944-11-28,Lake Fernandoville,F,William Mejia,Natalie Klein,,2025-11-13T04:44:21.736828
